,원 질병이름,사이트 질병 이름,진료과,동의어,정의
141,접촉성 피부염,접촉 피부염(Contact dermatitis),"피부과, 알레르기내과","광알레르기접촉피부염,알레르기접촉피부염,자극성 접촉피부염,자극접촉피부염,접촉성 피부염","접촉성 피부염은 피부를 자극하거나 알레르기 반응을 일으키는 물질에 노출되었을 때 나타나는 피부 염증입니다. 염증의 원인에 따라 자극성 접촉 피부염, 알레르기성 접촉 피부염으로 나뉩니다. 외인성 피부 질환 중 감염 질환, 방사선 피부염, 광 피부염, 화상 및 외상을 제외한 화학적 알레르기 물질, 독소, 자극 물질의 접촉에 의한 염증성 질환이 자극성 접촉 피부염입니다. 자극성 접촉 피부염의 특징은 산이나 알칼리와 같은 자극 물질이 직접 닿았던 부위에만 국한되어 발생한다는 것입니다. 손, 발, 얼굴, 귀, 가슴 등 신체 어디에서나 발생할 수 있습니다. 알레르기성 접촉 피부염은 후천적 면역 반응에 의한 것입니다. 이는 이전에 접촉한 적이 있는 어떤 항원에 반응한 사람이 동일 물질과 다시 접촉하면 나타나는 알레르기 반응입니다. 피부가 특정 물질에 닿고 며칠이 지난 후 가려움, 구진, 반점 등의 피부 증상이 나타납니다. 시간이 지나면 피부에 나타난 증상은 점점 더 심해지며, 나중에는 온몸으로 퍼집니다."
142,젖샘관내 유두종,유방의 유선관 내 유두종(Intraductal papilloma of breast),유방외과,유두종,유방의 유선관 내 유두종은 유즙이 나오는 유관에 생긴 유두 모양의 작은 종양입니다.
143,제2기 매독,매독(Syphilis),"감염내과, 비뇨의학과, 피부과",잠복 매독,매독은 성 접촉에 의해 전파되는 감염성 질환을 의미합니다. 매독에 감염되었을 때 적절한 치료를 받으면 몸속의 매독균이 모두 없어집니다. 하지만 치료가 충분히 이루어지지 않는다면 잠복 매독으로 남아있을 수 있습니다. 잠복 매독이 신경 매독으로 진행하는 것을 막기 위해 추가적인 치료가 필요할 수 있습니다.
144,조기 폐경,조기 폐경(Premature ovarian failure),산부인과,"일차성 난소부전증,조기난소부전","여성은 나이가 들면 난소의 기능이 저하되어 에스트로겐이라는 여성호르몬의 분비가 감소하고 월경이 멈추는 폐경을 경험합니다. 여성은 대부분 50대 중후반에 이러한 폐경을 겪습니다. 하지만 40세 이전에 폐경을 겪게 되는 경우가 있습니다. 이것을 조기 폐경이라고 하며, '일차성 난소부전증'이라고도 합니다."
145,조기심실수축,조기심실수축(premature ventricular contraction),심장내과,심실기외수축,"조기심실수축이란 심실의 정상 수축이 나타나기 전에 심실 수축이 먼저 일어나는 경우를 말하며, 부정맥 중에서 가장 흔합니다. 원인은 기질성 심장병 환자에서도 흔하게 나타나지만, 담배, 커피, 홍차, 알코올의 과량 섭취 시에도 발생할 수 있습니다. 심장 질환이 없고 조기심실수축으로 인한 증상이 없다면 치료가 필요 없으며, 꼭 필요한 경우에는 항부정맥제를 사용합니다."
146,채찍질손상,채찍질 손상(Whiplash injury),"신경외과, 응급의학과, 정형외과",편타성 외상,채찍질 손상은 교통사고와 같은 외상으로 인하여 흔히 발생하는 손상이다. 채찍질 손상 환자의 경우 과하게 젖힘 또는 굽힘된 부위의 부분 또는 완전파열이 되는 손상이며 동시에 그 주변 부위에 골절이나 척추뒤관절의 손상이 발생이 된다. 목이 돌아간 위치나 가쪽으로 굽힘이 된 위치에서 사고가 났다면 손상의 범위는 더 심해진다.
147,척추 종양,척추 종양(Spine Bone Tumor),"정형외과, 암병원","척추암,척추 신생물","척수는 뇌의 연수에서 이어져 척추 안을 세로로 가로지르는 긴 원기둥 형태의 중추신경입니다. 척추는 척수를 감싸고 보호하며 몸의 중심을 잡고 지탱하는 뼈입니다.척추 종양은 원발성 종양과 전이성 종양으로 구분됩니다. 원발성 종양은 양성 종양과 악성 종양으로 구분됩니다. 원발성 종양 중 양성 종양에 해당하는 것은 거대세포종, 혈관종 등이 있습니다. 악성 종양으로는 척삭종, 연골육종 등이 있습니다. 전이성 종양은 악성 종양입니다."
148,척추관 협착증,요추 추간판 탈출증(Herniation of intervertebral disk),"마취통증의학과, 신경외과, 정형외과","디스크,척추관 협착증,퇴행성 척추관 협착증,허리 디스크","여러 개의 작은 척추뼈가 모여서 척추라는 인체의 기둥을 이룹니다. 척추뼈 사이에는 척추뼈끼리 부딪치는 것을 막아주는 쿠션 같은 역할을 하는 '디스크(disc)'라는 말랑말랑한 젤리 같은 구조물이 있습니다. 우리말로는 '추간판'이라고 합니다. 디스크(추간판)의 한가운데에는 젤리같이 찐득찐득한 '수핵'이라는 물질이 들어 있습니다. 그 주변에 수핵을 둘러싸는 '섬유륜'이라는 두꺼운 막이 있습니다. 디스크는 전체적으로 자동차의 타이어와 같은 형태입니다. 디스크는 일어선 상태에서는 중력을 받아 납작해져서 바깥쪽으로 약간 볼록한 형태가 됩니다. 디스크는 그 특수한 구조 때문에 웬만한 힘이 가해져도 효율적으로 쿠션 역할을 할 수 있습니다. 그러나 갑자기 무거운 물건을 들어 올리거나, 부자연스러운 자세를 오랫동안 취하면 디스크에 무리한 힘이 가해지면서 디스크가 밖으로 돌출됩니다. 심한 경우 디스크를 감싼 막이 터지면서 그 안에 있는 수핵이 튀어나옵니다. 디스크는 대개 후방이나 후외방으로 돌출됩니다. 이때 바로 곁에 있는 신경을 누르게 됩니다. 돌출된 디스크는 척추의 어느 부위에나 생길 수 있습니다. 목에 생기면 '목 디스크', 등에 생기면 '등 디스크', 허리에 생기면 '허리 디스크'라고 부릅니다. 이와 같이 디스크가 돌출되어 신경을 눌러 요통 및 다리가 아프고 저린 증상을 일으키는 병을 '추간판 탈출증' 또는 '디스크 탈출증'이라고 합니다. 발생 빈도별로 보면 허리 디스크가 가장 흔합니다. 그다음이 목 디스크입니다. 등 디스크는 드문 병입니다."
149,천식,천식(Asthma),"호흡기내과, 알레르기내과, 소아천식아토피센터","소아천식,운동유발성천식,직업성천식","천식은 알레르기 염증에 의해 기관지가 반복적으로 좁아지는 만성 호흡기 질환입니다. 기관지가 좁아져서 숨이 차고, 기침이 나며, 가슴에서 색색거리는 소리가 들리고, 가슴이 답답해지는 증상이 반복적으로 되풀이됩니다. 우리나라 성인 인구의 5% 정도가 천식을 앓는 것으로 알려져 있습니다. 최근 전 세계적으로 천식 환자 수가 증가하고 있습니다."
150,추간판 탈출증,경추 추간판 탈출증(Cervical HIVD),"신경외과, 정형외과","경추수핵탈출증,목디스크,추간판 헤르니아,추간판장애,추간판탈출증","경추 추간판 탈출증은 디스크(추간판)가 밀려나 주위 신경근을 자극하여 통증을 일으키는 질환으로, 흔히 ‘목 디스크’라고 부릅니다. 척추는 33개의 뼈로 연결되어 있는데, 척추의 뼈와 뼈 사이에서 몸의 충격을 흡수하고 완충하는 것이 추간판, 일명 ‘디스크’입니다. 디스크는 스프링처럼 충격을 완화하고 척추뼈들끼리 부딪히지 않도록 보호합니다. 디스크는 80%가 수분 성분인 젤리처럼 생긴 수핵(가운데 위치)과 이 수핵을 둥글게 둘러싼 섬유륜으로 구성됩니다. 나이가 들면 수핵의 수분 함량이 감소하여 탄력성이 떨어지고, 나쁜 자세나 사고 등 외부적인 자극이 가해져 디스크가 밀려나는데, 이것이 이 질환의 원인이 됩니다."
151,치질 / 치열,치핵(Hemorrhoids),"소화기내과, 대장항문외과",치질,치핵은 항문 및 직장에 존재하는 치핵 조직이 항문 밖으로 빠져나오는 내치핵과 항문 밖의 치핵 조직이 부풀어 올라 덩어리처럼 만져지는 외치핵으로 구분됩니다.
152,카페인에 의한 유방통,유방통(Mastodynia),유방외과,"유방통증,젖가슴통증",유방통은 유방에 느껴지는 통증을 말합니다. 비교적 흔한 증상입니다. 유방통은 대부분 월경 시 호르몬 변화에 의해 발생하는 주기성 통증입니다.
153,칸디다 질염,칸디다성 외음질염(Candidal vulvovaginitis),산부인과,"곰팡이성 질염,칸디다 질염,칸디다성 질염","칸디다성 외음질염은 여성의 75% 정도가 일생에 한 번 이상 경험하며, 여성의 45% 정도는 1년에 2회 이상 경험할 정도로 흔한 질환입니다. 칸디다 알비칸스(Candidia albicans)가 원인균입니다. 위험 인자로는 면역 억제 특히 후천성 면역결핍증, 당뇨병, 호르몬의 변화(임신), 광범위 항생제 치료, 비만 등이 있습니다."
154,코 외상 / 코 안 이물질,업데이트 예정,업데이트 예정,업데이트 예정,업데이트 예정
155,쿠싱증후군,쿠싱 증후군(Cushing's syndrome),"내분비내과, 신경과, 신경외과","쿠싱병, 쿠싱증",쿠싱 증후군은 우리 몸이 필요 이상으로 많은 양의 당류코르티코이드라는 호르몬에 노출될 때 생기는 질환입니다.
156,크론병,크론병(Crohn's disease),"소화기내과, 대장항문외과, 소아소화기영양과","국한성 창자염,염증성 장질환,육아종성 대장염,크론씨병","크론병은 입에서 항문까지 소화기관 전체에 발생할 수 있는 만성 염증성 장질환입니다. 궤양성 대장염과 달리 장의 모든 층에 염증이 침범할 수 있습니다. 주로 대장과 소장이 연결되는 부위인 회맹부에 발병하는 경우가 흔하고, 그 다음으로 대장, 회장 말단부, 소장 등에서 많이 발생합니다."
157,크롬세포친화종,갈색세포종(Pheochromocytoma),내분비내과,크롬친화세포종,갈색세포종은 주로 부신수질에서 발생하는 종양을 말합니다.
158,통풍,통풍(Gout),류마티스내과,통풍,통풍은 요산이라는 물질이 몸밖으로 빠져나가지 못하고 과도하게 축적되어 발생하는 질환입니다
159,판막 질환,심장 판막 질환(Valvular heart disease),"심장내과, 심장병원, 판막질환센터",심장판막증,"심장 판막 질환은 심장 판막의 개폐 작용(열고 닫히는 기능)이 원활하지 않은 상태를 의미합니다. 사람의 심장은 경계가 서로 분명한 4개의 방(chamber)으로 구성되어 있습니다. 방과 방 사이에는 혈액 소통을 위해 적절한 개폐 작용을 해 주는 문짝이 필요합니다. 이 구조물을 판막(valve)이라고 부릅니다. 심장 판막이 기능적으로 잘 열리지 않는 것을 협착증이라 하고, 반대로 잘 열리지만 꽉 닫히지 않아 피가 역류하는 것을 폐쇄부전증이라고 합니다. 인체의 심장에는 방이 4개이므로 판막도 4가지가 있습니다. 임상적으로 문제가 되는 부위는 대부분 승모 판막과 대동맥 판막 두 곳입니다."
160,폐 색전증,폐 혈전색전증(Pulmonary thromboembolism),"심장내과, 심장병원",폐색전증,폐 혈전색전증은 다리에 있는 굵은 정맥에 생긴 핏덩어리(혈전)가 떨어진 후 혈류를 타고 돌아다니다가 가느다란 폐동맥 혈관 가지를 막음으로써 발생하는 증상입니다
161,폐 위축(폐 상처),업데이트 예정,업데이트 예정,업데이트 예정,업데이트 예정
162,폐결핵,폐결핵(Pulmonary tuberculosis),"호흡기내과, 소아천식아토피센터",TB,폐결핵은 결핵균이 폐를 감염시켜 발생하는 질환입니다. 2015년도 결핵 신환자는 인구 10만 명당 63.2명입니다. 우리나라의 결핵 발생률은 점점 감소하는 추세입니다. 그러나 여전히 OECD 국가 중에서는 결핵 발생률이 가장 높습니다.
163,폐경에 의한 고혈압,폐경기 및 여성의 갱년기 상태,"내분비내과, 산부인과",폐경기,폐경기에 접어들면서 혈중 콜레스테롤의 증가로 인하여 고혈압 및 관상동맥 질환이 발생한 것을 의미합니다.
164,폐경증후군,폐경(Menopause),"내분비내과, 산부인과",폐경(Menopause),폐경은 '월경이 중지되는 것'을 의미합니다. 의학적 의미의 폐경은 마지막 월경이 있은 후 1년간 월경이 없는 경우입니다.
165,폐렴,폐렴(Pneumonia),"노년내과, 호흡기내과, 소아천식아토피센터","바이러스성 폐렴,폐염증","폐렴은 세균이나 바이러스에 의해 세기관지 이하 폐조직에 염증이 발생하는 감염성 질환입니다. 일반적으로 발열, 기침, 가래와 같은 증상이 나타납니다. 흉부 X-ray 사진에서 폐렴을 의심할 수 있는 소견이 확인됩니다."
166,폐색전증,폐 혈전색전증(Pulmonary thromboembolism),"심장내과, 심장병원","폐동맥 색전증,폐색전증",폐 혈전색전증은 다리에 있는 굵은 정맥에 생긴 핏덩어리(혈전)가 떨어진 후 혈류를 타고 돌아다니다가 가느다란 폐동맥 혈관 가지를 막음으로써 발생하는 증상입니다. 폐동맥 가지가 핏덩어리로 막히고 막힌 부위에 공기가 들어와도 기체 교환이 잘 이루어지지 않으면 핏속의 산소가 부족해집니다. 그리고 폐 순환 중 오른쪽 심장에서 피를 보낼 때의 저항이 높아져 심장에도 부담이 가해집니다.
167,폐암,폐암(Lung cancer),"종양내과, 호흡기내과, 방사선종양학과, 흉부외과, 암병원","기관지암,폐 악성신생물,폐악성종양,폐암종","폐암이란 폐에 비정상적인 암세포가 무절제하게 증식하여 종괴(덩어리)를 형성하고 인체에 해를 미치는 것을 말합니다. 폐암은 폐에 국한되어 발견되기도 합니다. 하지만 폐암은 진행되면 반대쪽 폐뿐만 아니라 임파선이나 혈액을 통하여 뼈, 간, 부신, 신장, 뇌, 척수 등 온몸으로 전이될 수 있습니다. 미국에서는 연간 99,000명 정도의 남성, 78,000명 정도의 여성이 폐암 진단을 받으며, 진단 후 5년 이내에 86% 정도가 사망합니다. 한국인 사인 분류 통계에 의하면 폐암은 지속적으로 증가하고 있고, 사망률 또한 꾸준히 증가하고 있습니다."
168,폭식증,섭식 장애(Eating disorder),정신건강의학과,"Anorexia Nervosa,거식증,신경성대식증,신경성식욕부진증,신경성폭식증,폭식증","섭식 장애는 정신적인 문제로 인해 음식 섭취에 장애가 생기는 질환을 의미합니다. 대표적인 질환으로 거식증(신경성 식욕부진증)과 폭식증(신경성 대식증)이 있습니다. 두 질환은 서로 긴밀하게 연결되어 있습니다. 거식증의 특징은 체중 감소입니다. 거식증 환자는 살이 찌는 것에 대하여 걱정과 공포를 느끼고 비만이 아님에도 자신이 비만이라고 생각합니다. 환자는 체중을 줄이기 위해 식사를 제한하거나, 먹은 뒤 인위적으로 구토하는 등의 행동을 합니다. 폭식증은 단순히 일시적인 과식이나 식탐을 의미하는 것이 아닙니다. 폭식증은 음식에 대한 자제력을 잃고 비상식적으로 많은 양의 음식을 미친 듯이 먹고, 폭식 후에 의도적으로 구토와 설사를 일으키는 상태를 의미합니다. 거식증과 폭식증의 증상이 복합적으로 발생하는 경우도 있으며, 일부 증상만 나타나는 경우도 있습니다."
169,프로락틴종,뇌하수체 양성 및 악성 신생물(Malignant or benign neoplasm of Pituitary gland),"내분비내과, 방사선종양학과, 신경외과, 소아신경외과","뇌하수체선종,프로락틴종,뇌하수체 종양,뇌하수체 악성 신생물,뇌하수체 양성 신생물","뇌하수체는 상부에 있는 시상하부와 연결되어 우리 몸의 호르몬 분비 및 조절에 관여하는 기관입니다. 말안장과 같이 생긴 터어키안에 위치합니다. 해부학적으로는 선뇌하수체와 신경뇌하수체로 나누어집니다. 또한 뇌하수체 주위에는 시신경, 시교차, 내경동맥, 해면정맥동, 측두엽이 위치하여, 종양이 발생하면 이와 관련된 여러 가지 증상이 나타날 수 있습니다.뇌하수체 종양은 전체 두개강 내 종양의 10~15%를 차지합니다. 대부분 양성 종양이며, 악성 종양은 매우 드뭅니다. 그러나 뇌전이암 또는 말안장 부위의 뼈를 침범하는 악성 종양의 경우 뇌하수체를 침범할 수 있습니다. 뇌하수체 종양으로 인한 기능 항진이 일어날 경우 유즙분비호르몬 과잉증이나 거인증, 말단비대증이 올 수 있고, 기능 저하가 일어날 경우 범뇌하수체 기능 저하증(Panhypopitutarism, Simmond씨 병)이나 왜소증, 소인증, 요붕증, 항이뇨호르몬 부적절 증후군 등이 생길 수 있습니다. 전체 뇌하수체 선종의 약 40%를 차지하는, 가장 흔한 선종은 프로락틴분비선종입니다. 이는 대부분 20~30대의 여성에게 잘 나타나는데, 그 이유는 아직 밝혀지지 않았습니다."
170,허혈성 대장염,허혈성 대장염(ischemic colitis) ,"소화기내과, 외과",대장염,"허혈성 대장염은 혈관의 폐쇄없이 대장의 혈류감소로 인하여 대장조직의 염증과 괴사가 일어나는 질환으로, 노인에게 많이 발생하고 대부분 자연적으로 치유되지만 일부에서는 대장 전체의 괴사로 진행될 수 있습니다."
171,혈관 운동성 비염,혈관 운동성 비염(vasomotor rhinitis)    ,"이비인후과, 호흡기내과       ",업데이트 예정,혈관 운동성 비염은 알레르기 비염이나 비부비동염(축농증)으로 인한 것이 아니면서 심한 코막힘과 콧물을 주 증상으로 호소하는 비염입니다.
172,혈액응고장애,응고 장애(Disorders of coagulation),혈액종양내과,응고장애,"혈소판이나 혈액응고인자가 모자라거나, 그 기능에 이상이 있으면 출혈이 일어나도 피가 잘 멎지 않습니다."
173,협심증,급성 관동맥 증후군(Acute Coronary Syndrome),"심장내과, 흉부외과","ACS,급성 협심증","심장은 관상동맥에 의해 산소와 영양분을 공급받아 활동합니다. 급성 관동맥 증후군(ACS)은 관상동맥의 혈관 내에 급성으로 생긴 크고 작은 혈전으로 인해 순간적으로 혈관이 폐쇄되거나, 혈전에서 분비되는 여러 혈관 수축성 물질이 혈관을 더욱 심하게 수축시킴으로써 관상동맥이 심하게 폐쇄되어 심장에 혈류 공급이 부족해지는 질환을 의미합니다. 급성 관동맥 증후군은 관상동맥이 완전히 폐쇄되어 빠르게 심근 괴사로 진행하는 초응급질환인 ST분절상승 심근경색증(STEMI)과 ST분절상승 심근경색증(STEMI)보다는 여유가 있습니다. 그러나 빠른 입원 치료가 필요한 비ST분절상승 급성 관동맥 증후군(NSTE-ACS)으로 분류됩니다."
174,협착증,경동맥 협착증(Carotid artery stenosis),"혈관외과, 심장외과","경동맥협착,죽상경화성경동맥협착증,목동맥 협착증","경동맥 협착증은 경동맥이 좁아지고 딱딱해지는 질환을 의미합니다. 경동맥은 심장에서 나온 혈액을 뇌로 보내 뇌가 원활하게 기능할 수 있도록 에너지를 공급하는 혈관으로, 뇌로 가는 혈액의 80%를 보내는 중요한 혈관입니다. 우리나라에서 경동맥 협착증이 있는 성인은 5.5%로 보고됩니다. 특히 40대에 심각한 경동맥 협착증으로 수술받는 환자가 급증하며, 60대에 절정에 이릅니다."
175,혼합성 요실금,복합성 요실금(Mixed Incontinence)       ,비뇨의학과,복합성 요실금,"복압성 요실금과 절박성 요실금이 혼합된 형태입니다. 환자가 주관적으로 느끼는 증상의 심한 정도에 따라 복압성 요실금이 우세한 경우, 절박성 요실금이 우세한 경우, 복압성 요실금과 절박성 요실금이 비슷한 경우로 나눌 수 있습니다."
176,횡문근융해증,횡문근융해증(Rhabdomyolysis),신장내과,횡문근융해,"횡문근융해증이란 외상, 운동, 수술 등의 이유로 근육에 에너지 공급이 충분하지 않아 괴사가 일어나고, 이로 인해 생긴 독성 물질이 순환계로 유입되는 질환입니다. 이 독성 물질은 신장의 필터 기능을 저하시켜 급성 세뇨관 괴사나 신부전증을 일으킵니다."
177,후비루,후비루(Postnasal drip),"호흡기내과, 이비인후과, 알레르기내과",후비루증후군,"후비루는 코 주위의 공기주머니인 부비강에서 분비하는 분비물의 양이 증가하거나, 분비물이 끈끈해지거나, 목 근육 혹은 삼키는 운동의 이상으로 인해 분비물이 목에 고이거나, 코 뒤에서 분비물이 목으로 넘어가는 질환을 의미합니다. 정상적으로 코와 코 주위의 공기주머니인 부비강에서는 하루에 300~600mm의 분비물이 나옵니다. 이 분비물은 점막을 부드럽게 만들고 이물질을 제거하며 코로 들어온 공기에 습기를 제공하고 코의 감염을 막아주는 역할을 합니다. 이러한 점액의 분비와 제거는 신경, 혈관, 분비샘, 근육, 호르몬과 섬모(솜털)에 의해 조절됩니다."
178,길버트증후군,길버트 증후군(Gilbert's Syndrome),소화기내과,"질베르 증후군, 고빌리루빈혈증 1형, 고빌리루빈혈증",길버트 증후군은 용혈이나 구조적 또는 기능적인 간질환이 없는 상태에서 만성적인 비결합형 빌리루빈의 증가를 특징으로 하는 질환입니다.
179,담관염,담관염(Cholangitis),소화기내과,담도염,"담관염은 담관계통에 발생하는 급성 또는 만성의 염증질환으로 일반적으로 말하는 담관염은 급성 담관염을 의미하며 심한 경우에는 혈압저하, 의식저하를 동반한 패혈증과 같은 전신의 염증으로 빠르게 진행되어 사망할 수 있으므로 신속한 진단과 치료가 필요한 응급질환입니다."
180,담도암 / 췌장 두부암,담관암(Cholangiocarcinoma) / 췌장암(Pancreatic cancer),"소화기내과, 종양내과, 방사선종양학과, 간담도췌외과, 간이식ㆍ간담도외과, 암병원",담도암 / 이자암,"담관암은 담관에서 발생하는 암입니다. 담관은 간에서 만들어지는 담즙을 십이지장으로 보내는 관입니다.
췌장은 해부학적으로 두부(머리 부분), 체부(몸통 부분), 미부(꼬리 부분)로 나누어집니다. 두부는 담관(담즙의 배출 통로)과 연결되어 있어 두부에 췌장암이 발생하면 담관이 막히면서 황달이 나타날 수 있습니다."
181,용혈병,자가면역용혈질환(Autoimmune hemolytic disease),혈액내과,"자가면역성 용혈성 병,자가면역성 용혈성 질환",자가면역용혈질환은 적혈구 내부의 특수 항원에 대한 항체가 형성되어 적혈구가 일찍 파괴되어 나타나는 후천성 용혈빈혈입니다.
182,윌슨병,윌슨병(Willson disease),"소화기내과, 신경과, 의학유전학센터, 간이식ㆍ간담도외과, 소아내분비대사과, 소아소화기영양과, 의학유전학과","Hepatolenticular degeneration,간렌즈핵변성,윌슨씨병",윌슨병(Wilson's disease 또는 Hepatolenticular degeneration)은 구리 대사의 이상으로 인해 주로 간과 뇌의 기저핵에 과다한 양의 구리가 축적되는 유전 질환입니다.
183,호르몬약물 사용으로 인한 증상,업데이트 예정 (DB_5.17 추가 질병),업데이트 예정 (DB_5.17 추가 질병),업데이트 예정 (DB_5.17 추가 질병),업데이트 예정 (DB_5.17 추가 질병)
184,갑상샘저하증,갑상선기능저하증,내분비내과,"갑상샘기능저하,갑상샘저하증,갑상선기능저하,갑상선저하증",갑상선기능저하증은 우리 몸에 필요한 갑상선호르몬이 부족하여 나타나는 질환을 의미합니다.
185,과민성 방광,과민성 방광(Overactive Bladder),비뇨의학과,업데이트 예정,"과민성 방광(overactive bladder, OAB)이란 요로 감염 등 다른 명확한 원인이 없는 상태에서 요절박(절박뇨, 강하고 갑작스럽게 소변을 보고 싶은 느낌)이 나타나며 주간 빈뇨와 야간뇨를 흔하게 동반하는 질환을 의미합니다."
186,급성 신우신염,급성 신우신염(Acute pyelonephritis),"감염내과, 신장내과, 소아신장과","신우신염,신우염",급성 신우신염은 신장이나 신우 등 상부 요로계가 감염된 것을 의미합니다.
187,뇌전증,뇌전증(Epilepsy),"신경과, 신경외과","epilepticseizure,epilepticsyndrome,간질발작,간질병,간질증후군,간질","뇌전증(간질)은 뇌 신경세포가 일시적으로 이상을 일으켜 과도한 흥분 상태를 유발함으로써 나타나는 의식 소실, 발작, 행동 변화 등과 같은 뇌 기능의 일시적 마비 증상이 만성적, 반복적으로 발생하는 뇌 질환을 의미합니다."
188,메켈 게실,메켈 게실(Meckel's diverticulum),소화기내과,업데이트 예정,메켈 게실이란 태생 초기 태아의 혈액 보급로인 제장관막관이 출생 전에 퇴화되지 않아 회장 벽에서 60~100cm 정도로 돌출된 비정상적인 낭을 형성하는 질환입니다. 소화기 선천 기형 중 가장 흔한 질병 중 하나입니다.
189,면역글로불린 A 신병증,면역글로불린 A 신병증(IgA nephropathy),"신장내과, 소아신장과","면역글로불린 A 신병증,면역글로빈 A 신병증,버거병,버거스씨병,Bergers disease,IgA 신병증,IgA 신증",면역글로불린 A 신병증은 신장 조직 검사를 했을 때 사구체에 면역글로불린(Immunoglobulin) A (IgA)를 주로 하는 면역 복합체의 침착이 특징적으로 나타나는 질환입니다.
190,미주신경성 실신,심장신경성 실신(Neurocardiogenic syncope),심장내과,"미주신경성 실신,혈관미주신경성 실신",실신은 갑자기 일시적으로 의식을 잃고 쓰러지는 것을 의미합니다.
191,방광경부폐색,업데이트 예정 (전처리 중 drop 질병),업데이트 예정 (전처리 중 drop 질병),업데이트 예정 (전처리 중 drop 질병),업데이트 예정 (전처리 중 drop 질병)
192,방광암,방광암(Bladder cancer),"종양내과, 방사선종양학과, 비뇨의학과","Malignant neoplasm of bladder,방광 내 신생물,방광선암",방광암은 소변을 저장하는 장기인 방광에 악성 세포가 생긴 질환을 의미합니다.
193,방광염,급성 방광염(Acute cystitis),비뇨의학과,"방광 감염,방광 염증,방광염,오줌소태,하부요로감염",급성 방광염은 신장에서 만들어진 소변이 보관되는 장기인 방광에 감염이 발생한 질환입니다.
194,백의 고혈압,업데이트 예정 (전처리 중 drop 질병),업데이트 예정 (전처리 중 drop 질병),업데이트 예정 (전처리 중 drop 질병),업데이트 예정 (전처리 중 drop 질병)
195,복압성 요실금,복압성 요실금(Stress urinary incontinence),비뇨의학과,"긴장성 요실금,스트레스성 요실금",복압성 요실금(스트레스성 요실금)은 요실금의 한 가지 형태로서 긴장성 요실금이라고도 합니다.
196,본태성 고혈압,업데이트 예정 (전처리 중 drop 질병),업데이트 예정 (전처리 중 drop 질병),업데이트 예정 (전처리 중 drop 질병),업데이트 예정 (전처리 중 drop 질병)
197,부정맥,부정맥(Cardiac arrhythmias),"심장내과, 흉부외과",심장부정맥,부정맥은 흔히 맥박이 불규칙하다는 것으로 알려져 있습니다. 그러나 전문적으로 부정맥이란 불규칙한 맥뿐 아니라 빠른 빈맥과 느린 서맥을 총칭하는 용어입니다.
198,소아성 용종,업데이트 예정 (전처리 중 drop 질병),업데이트 예정 (전처리 중 drop 질병),업데이트 예정 (전처리 중 drop 질병),업데이트 예정 (전처리 중 drop 질병)
199,신경인성 방광,신경인성 방광(Neurogenic Bladder),비뇨의학과,신경인성 방광,"신경인성 방광은 대뇌부터 척수, 말초 신경에 이르는 신경계의 이상에서 비롯된 방광 기능과 배뇨 이상을 총칭합니다."
200,신동맥 협착,신동맥 협착증(Renal artery stenosis),신장내과,신동맥 협착,신동맥 협착증은 대동맥에서 양쪽 신장으로 들어가는 동맥인 신동맥이 어떠한 원인에 의해 좁아지는 것을 의미합니다.
201,신장암,신세포암종(Renal cell carcinoma),"종양내과, 방사선종양학과, 비뇨의학과","renal cancer,신세포암,신장암","신세포암종은 신장에서 생기는 악성 종양 중 하나입니다. 신세포암은 신장에서 발생하는 암의 85%를 차지하기 때문에, 신장암이라 하면 대부분 신세포암을 지칭합니다."
202,심장막염,업데이트 예정 (전처리 중 drop 질병),업데이트 예정 (전처리 중 drop 질병),업데이트 예정 (전처리 중 drop 질병),업데이트 예정 (전처리 중 drop 질병)
203,악성 고혈암,업데이트 예정 (전처리 중 drop 질병),업데이트 예정 (전처리 중 drop 질병),업데이트 예정 (전처리 중 drop 질병),업데이트 예정 (전처리 중 drop 질병)
204,약물 / 알콜에 의한 증상,업데이트 예정 (전처리 중 drop 질병),업데이트 예정 (전처리 중 drop 질병),업데이트 예정 (전처리 중 drop 질병),업데이트 예정 (전처리 중 drop 질병)
205,약물 유발 고콜레스테롤혈증,고콜레스테롤혈증(Pure hypercholesterolemia),"가정의학과, 내분비내과, 심장내과, 노년내과","고콜레스테롤혈,과콜레스테롤,과콜레스테롤혈증,콜레스테롤과다","당뇨병, 갑상선 기능 저하증, 신증후군, 경구 피임약, 부신피질 스테로이드제 등이 고콜레스테롤혈증을 유발할 수 있습니다."
206,양성전립선비대증,양성 전립선 비대증(Benign prostatic hyperplasia),"가정의학과, 비뇨의학과","전립샘의 증식,전립선비대,전립선비대증",양성 전립선 비대증은 전립선의 크기가 증가하는 질환입니다.
207,요도 손상,업데이트 예정 (전처리 중 drop 질병),업데이트 예정 (전처리 중 drop 질병),업데이트 예정 (전처리 중 drop 질병),업데이트 예정 (전처리 중 drop 질병)
208,요도염,요도염(Urethritis),비뇨의학과,요도염,"요도염은 성교에 의해 전파되며, 요도 분비물, 배뇨 시 통증, 요도의 소양감(간지러움) 등의 증상을 나타내는 요도의 염증성 질환입니다."
